               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.024931,             0.02074,           0.0077451,               0.631,             0.62234,             0.59737,             0.41433,            0.032938,            0.014963,            0.012857,            0.006205,            0.006205,            0.006205
                 117,            0.024448,            0.020923,           0.0067167,             0.61986,             0.62516,             0.59775,             0.41488,            0.032926,            0.014975,            0.012891,            0.006172,            0.006172,            0.006172
                 118,             0.02474,            0.020383,           0.0072141,             0.62508,             0.62521,              0.5992,             0.41651,            0.032846,            0.014981,            0.012856,            0.006139,            0.006139,            0.006139
                 119,            0.024503,            0.020731,           0.0069617,              0.6231,             0.63041,             0.59921,             0.41657,            0.032825,            0.014982,            0.012811,            0.006106,            0.006106,            0.006106
                 120,            0.024726,            0.020815,           0.0067432,             0.62876,             0.62984,             0.59904,             0.41645,            0.032816,            0.015015,            0.012794,            0.006073,            0.006073,            0.006073
                 121,            0.024063,            0.020489,           0.0066309,             0.62492,             0.64289,              0.5997,             0.41681,            0.032867,             0.01503,            0.012737,             0.00604,             0.00604,             0.00604
                 122,            0.024231,            0.020414,           0.0068641,             0.62136,             0.64556,             0.60039,             0.41708,            0.032924,            0.015041,            0.012731,            0.006007,            0.006007,            0.006007
                 123,            0.024449,            0.020275,           0.0071972,             0.62571,             0.64348,             0.60309,             0.41902,            0.032964,            0.015052,            0.012708,            0.005974,            0.005974,            0.005974
                 124,            0.024404,            0.020463,           0.0071543,              0.6261,             0.63835,             0.60217,             0.41981,            0.032988,            0.015059,            0.012688,            0.005941,            0.005941,            0.005941
                 125,            0.024539,            0.020475,           0.0073613,             0.62883,             0.63916,             0.60261,             0.42057,            0.033007,            0.015066,            0.012686,            0.005908,            0.005908,            0.005908
                 126,            0.023957,            0.020316,           0.0064764,             0.62732,             0.64295,              0.6026,             0.42135,            0.033016,             0.01508,            0.012678,            0.005875,            0.005875,            0.005875
                 127,             0.02402,             0.01987,           0.0067161,             0.62796,             0.63437,             0.60199,             0.42073,            0.033031,            0.015115,            0.012754,            0.005842,            0.005842,            0.005842
                 128,            0.023837,            0.020447,           0.0067753,              0.6272,             0.62859,             0.60266,             0.42083,            0.033045,            0.015143,            0.012769,            0.005809,            0.005809,            0.005809
                 129,             0.02433,            0.020436,            0.007137,             0.62716,             0.63007,             0.60312,             0.42151,            0.033051,            0.015162,            0.012802,            0.005776,            0.005776,            0.005776
                 130,            0.023792,            0.020084,           0.0065549,             0.62492,              0.6355,             0.60267,             0.42125,             0.03305,            0.015186,            0.012846,            0.005743,            0.005743,            0.005743
                 131,            0.024071,            0.019884,           0.0067813,             0.63123,             0.62654,             0.60372,             0.42122,            0.033059,            0.015205,            0.012841,             0.00571,             0.00571,             0.00571
                 132,             0.02364,            0.019958,           0.0067117,             0.62612,              0.6316,             0.60299,             0.42051,            0.033042,            0.015223,            0.012828,            0.005677,            0.005677,            0.005677
                 133,             0.02395,            0.020478,            0.006905,             0.62476,             0.63387,               0.603,             0.42055,             0.03306,            0.015245,            0.012858,            0.005644,            0.005644,            0.005644
                 134,            0.023365,            0.020071,           0.0063868,              0.6334,             0.62653,             0.60286,             0.42027,            0.033078,            0.015263,            0.012869,            0.005611,            0.005611,            0.005611
                 135,            0.023584,            0.019727,           0.0069593,             0.63198,             0.62508,             0.60211,             0.42018,              0.0331,            0.015274,            0.012881,            0.005578,            0.005578,            0.005578
                 136,            0.023487,            0.019768,           0.0063205,             0.63718,             0.62487,             0.60211,             0.42096,            0.033107,            0.015289,            0.012881,            0.005545,            0.005545,            0.005545
                 137,            0.022907,            0.019499,           0.0062236,             0.63465,              0.6263,             0.60321,             0.42138,            0.033099,            0.015299,            0.012868,            0.005512,            0.005512,            0.005512
                 138,             0.02316,            0.019479,           0.0062639,             0.63312,             0.62944,              0.6038,             0.42198,            0.033118,            0.015312,            0.012897,            0.005479,            0.005479,            0.005479
                 139,            0.023004,            0.019598,           0.0059545,             0.63477,             0.62697,             0.60348,              0.4219,            0.033143,            0.015313,            0.012908,            0.005446,            0.005446,            0.005446
                 140,             0.02323,            0.019416,           0.0062615,             0.63986,             0.62298,             0.60393,             0.42229,            0.033142,             0.01532,            0.012903,            0.005413,            0.005413,            0.005413
                 141,            0.023033,            0.019128,           0.0062277,             0.64043,             0.62175,             0.60368,             0.42243,            0.033146,            0.015333,            0.012906,             0.00538,             0.00538,             0.00538
                 142,            0.022997,            0.018927,           0.0066468,             0.64045,             0.62256,              0.6049,             0.42391,            0.033111,            0.015338,            0.012891,            0.005347,            0.005347,            0.005347
                 143,            0.022785,            0.019242,           0.0060799,             0.64012,             0.62358,             0.60546,             0.42421,            0.033096,            0.015339,            0.012886,            0.005314,            0.005314,            0.005314
